Pos,W,D,L,GF,GA,mins_per_chance,on_target,shots,bct,goals,bcc,ccib,ccob,cc
1,27.6,6.6,3.8,86.8,33.0,6.0600000000000005,215.6,35.779999999999994,98.2,14.34,41.0,202.8,169.6,370.0
2,24.2,7.6,6.2,80.6,35.6,5.92,222.8,36.14,96.0,13.1,48.8,235.0,187.4,420.0
3,22.4,9.2,6.4,73.0,34.6,5.62,223.8,34.82,90.0,11.379999999999999,41.0,221.6,156.8,375.6
4,21.2,9.6,7.2,72.6,39.8,6.24,209.6,35.84,84.6,12.4,55.2,209.8,144.0,352.6
5,20.6,7.6,9.8,61.4,41.8,6.8,183.0,33.94,68.6,11.419999999999998,55.4,271.0,172.2,440.4
6,18.8,8.8,10.4,58.8,44.0,6.279999999999999,195.2,33.800000000000004,79.6,10.24,54.2,240.4,179.0,417.0
7,16.8,9.8,11.4,56.2,42.0,7.419999999999999,166.8,33.739999999999995,63.4,11.26,56.2,276.4,201.2,475.2
8,14.4,10.2,13.4,49.6,50.2,7.540000000000001,161.2,32.38,60.4,10.14,54.8,261.6,199.8,459.2
9,13.2,10.0,14.8,49.0,55.8,8.16,138.8,31.339999999999996,61.2,11.040000000000001,66.6,295.8,221.8,515.8
10,12.8,8.8,16.4,46.2,52.2,7.659999999999999,150.4,31.360000000000003,56.4,9.72,64.6,292.4,207.2,498.0
11,11.8,10.2,16.0,46.4,54.4,7.7,150.0,31.82,65.0,9.76,64.4,306.2,206.8,511.4
12,11.6,10.0,16.4,46.6,55.4,7.8,148.6,32.0,49.6,10.040000000000001,65.0,318.2,222.8,538.4
13,11.0,10.0,17.0,41.4,55.2,8.7,129.4,31.26,51.2,10.04,60.4,318.2,249.0,565.0
14,10.8,8.4,18.8,43.0,58.0,8.24,127.4,28.7,57.2,9.72,67.0,303.0,232.4,534.0
15,10.4,8.8,18.8,39.4,59.8,8.42,135.0,31.339999999999996,51.0,9.16,66.8,294.4,222.4,516.2
16,9.6,10.0,18.4,36.2,57.2,8.82,123.4,30.02,40.8,8.760000000000002,60.8,308.0,235.2,541.4
17,8.8,11.4,17.8,39.8,60.4,8.16,136.0,30.76,47.0,8.959999999999999,59.6,293.4,223.2,515.0
18,8.4,9.2,20.4,34.0,62.8,9.0,127.0,31.28,41.0,8.479999999999999,70.4,326.4,236.6,562.2
19,7.4,9.8,20.8,33.8,65.2,9.000000000000002,121.8,30.179999999999996,48.4,8.38,75.6,346.8,231.6,577.2
20,6.0,8.4,23.6,32.2,69.6,8.760000000000002,120.8,28.939999999999998,43.8,7.6800000000000015,73.2,357.4,245.2,600.8
