Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,mins_per_chance,on_target,shots,bct,goals,bcc,ccib,ccob,cc
1,Manchester City,38,32,4,2,106,27,79,100,5.4,261,39.2,129,15.9,35,141,98,236
2,Manchester United,38,25,6,7,68,28,40,81,7,173,33.8,78,13.3,57,264,173,436
3,Tottenham Hotspur,38,23,8,7,74,36,38,77,5.8,212,34,97,11.9,46,234,126,356
4,Liverpool,38,21,12,5,84,38,46,75,5.7,229,35.9,109,13.2,54,184,100,282
5,Chelsea,38,21,7,10,62,38,24,70,5.9,213,35.1,77,10.2,41,216,163,377
6,Arsenal,38,19,6,13,74,51,23,63,6.1,228,38.4,98,12.5,71,277,147,423
7,Burnley,38,14,12,12,36,39,?3,54,9.5,126,33.3,43,9.5,58,330,241,570
8,Everton,38,13,10,15,44,58,?14,49,10.1,118,32.9,64,12.3,70,301,242,541
9,Leicester City,38,12,11,15,56,60,?4,47,8.5,143,33.8,66,13.2,67,286,206,489
10,Newcastle United,38,12,8,18,39,47,?8,44,8,147,32.6,58,8.6,74,311,168,478
11,Crystal Palace,38,11,11,16,45,55,?10,44,7.6,144,30.3,86,9.5,70,288,179,466
12,Bournemouth,38,11,11,16,45,61,?16,44,7.8,156,33.5,47,9.7,79,337,211,548
13,West Ham United,38,10,12,16,48,68,?20,42,9.7,131,35.2,53,12.9,68,322,241,563
14,Watford,38,11,8,19,44,64,?20,41,8.3,131,29.8,62,10,78,273,142,413
15,Brighton & Hove Albion,38,9,13,16,34,54,?20,40,9.4,116,30.2,50,8.9,55,302,254,555
16,Huddersfield Town,38,9,10,19,28,58,?30,37,9.9,107,29.6,36,7.7,79,285,157,439
17,Southampton,38,7,15,16,37,56,?19,36,8,139,30.9,55,8.2,57,279,214,492
18,Swansea City,38,8,9,21,28,56,?28,33,10.7,97,28.7,43,8.3,82,328,212,539
19,Stoke City,38,7,12,19,35,68,?33,33,9.4,126,32.8,54,9.1,93,361,219,579
20,West Bromwich Albion,38,6,13,19,31,56,?25,31,9.6,112,29.6,52,8.2,61,286,230,516
